taskid -- core -- memory -- disk -- time
39 -- 0.745 -- 3070 -- 2437 -- 1347.091337
227 -- 0.971 -- 3000 -- 2437 -- 448.835496
287 -- 1.019 -- 2610 -- 2437 -- 236.057295
58 -- 0.528 -- 3229 -- 2437 -- 1261.69498
239 -- 1.012 -- 2983 -- 2437 -- 429.969179
241 -- 1.002 -- 2686 -- 2437 -- 432.48324
202 -- 1.008 -- 3120 -- 2437 -- 589.410695
291 -- 1.018 -- 2617 -- 2437 -- 261.720761
231 -- 0.911 -- 2980 -- 2437 -- 500.388138
64 -- 1.003 -- 2959 -- 2437 -- 1272.771541
13 -- 0.994 -- 3174 -- 2437 -- 1601.930829
173 -- 1.007 -- 3194 -- 2437 -- 761.238132
323 -- 1.022 -- 2799 -- 2437 -- 195.327751
263 -- 1.01 -- 2986 -- 2437 -- 468.56826
177 -- 1.007 -- 3171 -- 2437 -- 822.849634
181 -- 1.007 -- 3175 -- 2437 -- 803.002655
262 -- 1.01 -- 2680 -- 2437 -- 478.388007
193 -- 1.006 -- 3191 -- 2437 -- 767.500387
297 -- 1.01 -- 2742 -- 2437 -- 371.629296
311 -- 0.954 -- 2899 -- 2437 -- 307.206875
234 -- 1.01 -- 3093 -- 2437 -- 600.351344
343 -- 1.019 -- 2942 -- 2437 -- 211.205448
210 -- 0.645 -- 2928 -- 2437 -- 710.081769
255 -- 0.599 -- 2621 -- 2437 -- 552.550152
334 -- 1.015 -- 2903 -- 2437 -- 271.980867
201 -- 1.007 -- 3103 -- 2437 -- 769.428752
315 -- 1.012 -- 2640 -- 2437 -- 337.353313
72 -- 1.002 -- 3100 -- 2437 -- 1386.682503
330 -- 1.013 -- 2939 -- 2437 -- 304.541422
355 -- 1.002 -- 2620 -- 2437 -- 239.822685
78 -- 1.005 -- 3094 -- 2437 -- 1362.664109
242 -- 1.007 -- 3111 -- 2437 -- 645.81379
346 -- 1.014 -- 2908 -- 2437 -- 282.682832
205 -- 1.007 -- 3099 -- 2437 -- 802.659488
277 -- 1.017 -- 3168 -- 2437 -- 532.5278949999999
350 -- 1.013 -- 3187 -- 2437 -- 283.506924
363 -- 1.013 -- 2607 -- 2437 -- 237.338183
197 -- 1.006 -- 3171 -- 2437 -- 853.789351
254 -- 1.008 -- 3110 -- 2437 -- 627.675832
338 -- 1.014 -- 2644 -- 2437 -- 334.369706
199 -- 0.556 -- 3115 -- 2437 -- 856.25979
209 -- 1.007 -- 3094 -- 2437 -- 824.9329320000001
250 -- 1.007 -- 3172 -- 2437 -- 669.855213
213 -- 0.927 -- 3219 -- 2437 -- 814.76564
367 -- 1.018 -- 2620 -- 2437 -- 262.665735
24 -- 1.003 -- 3306 -- 2437 -- 1772.239655
94 -- 1.005 -- 3091 -- 2437 -- 1356.612652
281 -- 1.007 -- 2705 -- 2437 -- 584.568439
238 -- 0.877 -- 3110 -- 2437 -- 744.988379
179 -- 0.532 -- 3085 -- 2437 -- 1006.515307
130 -- 0.55 -- 3110 -- 2437 -- 1225.497539
274 -- 1.009 -- 3093 -- 2437 -- 638.210741
278 -- 1.007 -- 3110 -- 2437 -- 656.276402
331 -- 1.011 -- 2978 -- 2437 -- 462.440987
159 -- 1.007 -- 2917 -- 2437 -- 1126.117226
32 -- 1.003 -- 3273 -- 2437 -- 1798.166937
172 -- 1.005 -- 2887 -- 2437 -- 1068.44405
286 -- 1.008 -- 3110 -- 2437 -- 638.346542
335 -- 1.01 -- 2979 -- 2437 -- 464.114477
186 -- 0.6850000000000001 -- 3093 -- 2437 -- 1039.742092
302 -- 1.009 -- 3113 -- 2437 -- 598.7549330000001
257 -- 1.006 -- 3119 -- 2437 -- 766.558444
70 -- 0.864 -- 3109 -- 2437 -- 1590.455196
237 -- 1.006 -- 3197 -- 2437 -- 843.518773
249 -- 1.006 -- 3094 -- 2437 -- 811.106865
359 -- 1.012 -- 3087 -- 2437 -- 420.018662
15 -- 0.513 -- 3064 -- 2437 -- 1964.336955
245 -- 0.698 -- 2745 -- 2437 -- 832.116219
321 -- 1.017 -- 2907 -- 2437 -- 552.596951
19 -- 0.516 -- 3072 -- 2437 -- 1951.503854
126 -- 1.003 -- 3091 -- 2437 -- 1358.802737
144 -- 1.005 -- 3127 -- 2437 -- 1273.636515
16 -- 0.993 -- 3319 -- 2437 -- 1984.086495
381 -- 1.01 -- 2709 -- 2437 -- 369.580091
383 -- 1.012 -- 2683 -- 2437 -- 368.359605
318 -- 1.009 -- 3114 -- 2437 -- 604.221469
141 -- 0.595 -- 3179 -- 2437 -- 1312.686407
107 -- 0.326 -- 3080 -- 2437 -- 1473.703944
391 -- 1.013 -- 2620 -- 2437 -- 343.005933
333 -- 1.008 -- 3031 -- 2437 -- 566.592929
269 -- 1.007 -- 3095 -- 2437 -- 807.849927
285 -- 1.007 -- 3111 -- 2437 -- 761.868513
170 -- 0.522 -- 3119 -- 2437 -- 1200.463797
379 -- 1.011 -- 2998 -- 2437 -- 425.74388
371 -- 1.01 -- 3015 -- 2437 -- 461.773791
322 -- 1.008 -- 3118 -- 2437 -- 625.364747
397 -- 1.01 -- 2709 -- 2437 -- 368.691145
325 -- 1.006 -- 2738 -- 2437 -- 630.966771
203 -- 0.892 -- 3086 -- 2437 -- 1103.36276
235 -- 0.527 -- 3072 -- 2437 -- 972.085207
342 -- 1.009 -- 3119 -- 2437 -- 593.056062
97 -- 1.005 -- 3095 -- 2437 -- 1581.852248
326 -- 1.007 -- 3110 -- 2437 -- 656.15043
115 -- 0.308 -- 3091 -- 2437 -- 1519.499866
273 -- 1.004 -- 3174 -- 2437 -- 848.492316
261 -- 0.648 -- 2903 -- 2437 -- 902.203894
276 -- 1.003 -- 3120 -- 2437 -- 862.1242549999999
293 -- 1.006 -- 3096 -- 2437 -- 810.113575
354 -- 1.01 -- 3112 -- 2437 -- 596.53795
217 -- 1.008 -- 2734 -- 2437 -- 414.647571
77 -- 0.535 -- 3089 -- 2437 -- 1730.974837
87 -- 0.304 -- 3071 -- 2437 -- 1690.114485
147 -- 0.707 -- 3068 -- 2437 -- 1414.827421
387 -- 0.878 -- 3095 -- 2437 -- 485.431729
399 -- 1.011 -- 2918 -- 2437 -- 456.529812
305 -- 1.007 -- 3096 -- 2437 -- 803.840813
345 -- 0.867 -- 2730 -- 2437 -- 672.836769
267 -- 0.55 -- 3084 -- 2437 -- 954.213715
373 -- 1.007 -- 2714 -- 2437 -- 580.228476
256 -- 1.005 -- 3422 -- 2437 -- 1004.543065
309 -- 1.007 -- 3093 -- 2437 -- 820.588179
275 -- 0.55 -- 3088 -- 2437 -- 954.440597
185 -- 0.599 -- 3090 -- 2437 -- 1314.77895
327 -- 0.5659999999999999 -- 3093 -- 2437 -- 781.939489
310 -- 0.538 -- 2643 -- 2437 -- 852.9261739999999
279 -- 1.008 -- 3085 -- 2437 -- 981.007478
351 -- 0.465 -- 2869 -- 2437 -- 731.362807
370 -- 1.002 -- 3134 -- 2437 -- 660.570476
112 -- 1.003 -- 3304 -- 2437 -- 1689.7242
134 -- 0.786 -- 3091 -- 2437 -- 1586.263453
252 -- 1.008 -- 2887 -- 2437 -- 1109.590499
180 -- 1.003 -- 3151 -- 2437 -- 1419.305681
341 -- 1.006 -- 3182 -- 2437 -- 804.299995
222 -- 0.541 -- 3114 -- 2437 -- 1238.367192
398 -- 1.008 -- 3111 -- 2437 -- 596.539264
337 -- 1.006 -- 3171 -- 2437 -- 824.523654
328 -- 1.003 -- 3053 -- 2437 -- 860.671596
260 -- 1.008 -- 2887 -- 2437 -- 1115.837902
81 -- 0.462 -- 3108 -- 2437 -- 1895.016222
365 -- 1.007 -- 3244 -- 2437 -- 754.405188
171 -- 0.674 -- 3087 -- 2437 -- 1473.445694
303 -- 1.008 -- 3069 -- 2437 -- 981.990731
347 -- 0.61 -- 3069 -- 2437 -- 840.058058
307 -- 1.008 -- 2914 -- 2437 -- 980.352503
299 -- 0.946 -- 2926 -- 2437 -- 1021.286302
336 -- 1.006 -- 2941 -- 2437 -- 879.6469039999999
340 -- 1.003 -- 2898 -- 2437 -- 875.604735
378 -- 0.878 -- 3110 -- 2437 -- 746.150876
306 -- 0.6850000000000001 -- 3116 -- 2437 -- 1022.698742
377 -- 1.007 -- 3192 -- 2437 -- 767.485513
20 -- 0.755 -- 3300 -- 2437 -- 2343.614256
140 -- 1.003 -- 3306 -- 2437 -- 1695.263587
148 -- 0.765 -- 3149 -- 2437 -- 1665.266143
