time,id,cpuusage,disk,jobs,memusage,allocated_cpuusage,allocated_disk,allocated_jobs,allocated_memusage
90,4,100.9,5000,66,771,110,5000,200,1952
90,5,99.7,5000,85,528,110,5000,200,1250
91,4,100.8,5000,66,833,110,5000,200,1952
91,5,99.7,5000,85,588,110,5000,200,1250
92,4,99.3,5000,66,894,110,5000,200,1952
92,5,101.2,5000,85,648,110,5000,200,1250
93,4,99.2,5000,66,956,110,5000,200,1952
93,5,100.3,5000,85,708,110,5000,200,1250
94,4,100.9,5000,66,1018,110,5000,200,1952
94,5,99.5,5000,85,768,110,5000,200,1250
95,4,99.4,5000,66,1080,110,5000,200,1952
95,5,100.2,5000,85,829,110,5000,200,1250
96,4,100.9,5000,66,1142,110,5000,200,1952
96,5,99.5,5000,85,889,110,5000,200,1250
97,4,100.8,5000,66,1203,110,5000,200,1952
97,5,101.4,5000,85,949,110,5000,200,1250
98,4,97.6,5000,66,1264,110,5000,200,1952
98,5,100.3,5000,85,1010,110,5000,200,1250
99,4,101.0,5000,66,1326,110,5000,200,1952
99,5,99.4,5000,85,1071,110,5000,200,1250
100,4,100.9,5000,66,1387,110,5000,200,1952
100,5,99.5,5000,85,1131,110,5000,200,1250
101,4,99.1,5000,66,1447,110,5000,200,1952
101,5,99.2,5000,85,1190,110,5000,200,1250
102,4,100.4,5000,66,1508,110,5000,200,1952
102,5,1.7,5000,85,1195,110,5000,200,1250
103,4,99.1,5000,66,1569,110,5000,200,1952
103,5,20.5,5000,85,1195,110,5000,200,1250
104,4,101.0,5000,66,1630,110,5000,200,1952
104,5,99.4,5000,85,1195,110,5000,200,1250
105,4,99.4,5000,66,1691,110,5000,200,1952
105,5,101.1,5000,85,1196,110,5000,200,1250
106,4,99.7,5000,66,1752,110,5000,200,1952
106,5,99.5,5000,85,1196,110,5000,200,1250
107,4,100.9,5000,66,1813,110,5000,200,1952
107,5,99.6,5000,85,1200,110,5000,200,1250
108,4,99.1,5000,66,1873,110,5000,200,1952
108,5,100.0,5000,85,1203,110,5000,200,1250
109,4,100.8,5000,66,1933,110,5000,200,1952
109,5,101.2,5000,85,1206,110,5000,200,1250
110,4,77.0,5000,66,1980,110,5000,200,1952
110,5,97.8,5000,85,1209,110,5000,200,1250
111,5,100.2,5000,85,1211,110,5000,200,1250
113,5,100.8,5000,85,1213,110,5000,200,1250
113,6,0.0,5000,66,0,110,5000,200,2440
114,5,101.1,5000,85,1215,110,5000,200,1250
114,6,0.0,5000,66,55,110,5000,200,2440
115,5,98.9,5000,85,1217,110,5000,200,1250
115,6,101.1,5000,66,107,110,5000,200,2440
116,5,101.2,5000,85,1221,110,5000,200,1250
116,6,100.0,5000,66,167,110,5000,200,2440
117,5,97.5,5000,85,1225,110,5000,200,1250
117,6,98.8,5000,66,227,110,5000,200,2440
117,7,0.0,5000,0,0,110,5000,200,1000
118,5,101.1,5000,85,1228,110,5000,200,1250
118,6,100.8,5000,66,280,110,5000,200,2440
118,7,0.0,5000,63,47,110,5000,200,1000
119,5,101.1,5000,85,1233,110,5000,200,1250
119,6,99.3,5000,66,338,110,5000,200,2440
119,7,100.0,5000,63,92,110,5000,200,1000
120,5,88.8,5000,85,1234,110,5000,200,1250
120,6,101.0,5000,66,398,110,5000,200,2440
120,7,99.7,5000,63,140,110,5000,200,1000
121,5,85.4,5000,85,1234,110,5000,200,1250
121,6,100.2,5000,66,459,110,5000,200,2440
121,7,101.0,5000,63,201,110,5000,200,1000
122,5,83.7,5000,85,1234,110,5000,200,1250
122,6,98.6,5000,66,508,110,5000,200,2440
122,7,100.8,5000,63,262,110,5000,200,1000
123,5,82.2,5000,85,1234,110,5000,200,1250
123,6,100.1,5000,66,553,110,5000,200,2440
123,7,99.2,5000,63,323,110,5000,200,1000
124,5,87.4,5000,85,1234,110,5000,200,1250
124,6,100.1,5000,66,606,110,5000,200,2440
124,7,99.4,5000,63,383,110,5000,200,1000
125,5,73.5,5000,85,1234,110,5000,200,1250
