time,id,cpuusage,disk,jobs,memusage,allocated_cpuusage,allocated_disk,allocated_jobs,allocated_memusage
84,0,63.4,5000,166,85,110,5000,200,200
84,1,6.7,5000,195,85,110,5000,200,200
85,0,40.2,5000,166,85,110,5000,200,200
85,1,22.9,5000,195,85,110,5000,200,200
86,0,74.0,5000,166,85,110,5000,200,200
86,1,21.9,5000,195,85,110,5000,200,200
87,0,26.7,5000,166,85,110,5000,200,200
87,1,6.8,5000,195,85,110,5000,200,200
88,0,86.8,5000,166,85,110,5000,200,200
88,1,28.5,5000,195,85,110,5000,200,200
89,0,30.0,5000,166,85,110,5000,200,200
89,1,0.0,5000,195,85,110,5000,200,200
90,0,77.5,5000,166,85,110,5000,200,200
90,1,31.7,5000,195,85,110,5000,200,200
91,0,31.4,5000,166,85,110,5000,200,200
91,1,0.0,5000,195,85,110,5000,200,200
92,0,83.6,5000,166,85,110,5000,200,200
92,1,30.0,5000,195,85,110,5000,200,200
93,0,25.3,5000,166,85,110,5000,200,200
93,1,0.0,5000,195,85,110,5000,200,200
94,0,83.8,5000,166,85,110,5000,200,200
94,1,30.1,5000,195,85,110,5000,200,200
95,0,25.1,5000,166,85,110,5000,200,200
95,1,0.0,5000,195,85,110,5000,200,200
96,0,75.2,5000,166,85,110,5000,200,200
96,1,28.5,5000,195,85,110,5000,200,200
97,0,33.4,5000,166,85,110,5000,200,200
97,1,0.0,5000,195,85,110,5000,200,200
98,0,68.7,5000,166,85,110,5000,200,200
98,1,30.1,5000,195,85,110,5000,200,200
99,0,45.3,5000,166,85,110,5000,200,200
99,1,11.7,5000,195,85,110,5000,200,200
100,0,53.7,5000,166,85,110,5000,200,200
100,1,18.5,5000,195,85,110,5000,200,200
101,0,51.9,5000,166,85,110,5000,200,200
101,1,26.8,5000,195,85,110,5000,200,200
102,0,48.7,5000,166,85,110,5000,200,200
102,1,1.7,5000,195,85,110,5000,200,200
103,0,55.3,5000,166,85,110,5000,200,200
103,1,25.2,5000,195,85,110,5000,200,200
103,2,0.0,5000,0,0,110,5000,200,200
104,0,46.8,5000,166,85,110,5000,200,200
104,1,0.0,5000,195,85,110,5000,200,200
104,2,0.0,5000,164,34,110,5000,200,200
105,0,65.2,5000,166,85,110,5000,200,200
105,1,30.1,5000,195,85,110,5000,200,200
105,2,0.0,5000,164,34,110,5000,200,200
106,0,35.3,5000,166,85,110,5000,200,200
106,1,0.0,5000,195,85,110,5000,200,200
106,2,95.7,5000,164,37,110,5000,200,200
107,0,78.6,5000,166,85,110,5000,200,200
107,1,23.5,5000,195,85,110,5000,200,200
107,2,98.6,5000,164,41,110,5000,200,200
108,0,21.9,5000,166,85,110,5000,200,200
108,1,0.0,5000,195,85,110,5000,200,200
108,2,99.6,5000,164,45,110,5000,200,200
109,0,85.5,5000,166,85,110,5000,200,200
109,1,25.1,5000,195,85,110,5000,200,200
109,2,100.2,5000,164,50,110,5000,200,200
110,0,15.1,5000,166,85,110,5000,200,200
110,1,0.0,5000,195,85,110,5000,200,200
110,2,99.5,5000,164,54,110,5000,200,200
111,0,93.8,5000,166,85,110,5000,200,200
111,1,28.5,5000,195,85,110,5000,200,200
111,2,98.8,5000,164,58,110,5000,200,200
112,0,15.0,5000,166,85,110,5000,200,200
112,1,1.7,5000,195,85,110,5000,200,200
112,2,99.5,5000,164,63,110,5000,200,200
113,0,88.8,5000,166,85,110,5000,200,200
113,1,28.400000000000002,5000,195,85,110,5000,200,200
113,2,101.0,5000,164,68,110,5000,200,200
114,0,20.2,5000,166,85,110,5000,200,200
114,1,15.1,5000,195,85,110,5000,200,200
114,2,99.4,5000,164,72,110,5000,200,200
115,0,80.7,5000,166,85,110,5000,200,200
115,1,8.4,5000,195,85,110,5000,200,200
115,2,100.1,5000,164,76,110,5000,200,200
116,0,30.1,5000,166,85,110,5000,200,200
116,1,30.2,5000,195,85,110,5000,200,200
116,2,99.0,5000,164,80,110,5000,200,200
117,0,98.1,5000,166,85,110,5000,200,200
117,1,1.7,5000,195,85,110,5000,200,200
117,2,99.3,5000,164,85,110,5000,200,200
118,0,99.5,5000,166,85,110,5000,200,200
118,1,30.2,5000,195,85,110,5000,200,200
118,2,13.5,5000,164,85,110,5000,200,200
119,0,100.6,5000,166,85,110,5000,200,200
119,1,0.0,5000,195,85,110,5000,200,200
119,2,3.4,5000,164,85,110,5000,200,200
120,0,104.9,5000,166,85,110,5000,200,200
120,1,25.3,5000,195,85,110,5000,200,200
120,2,0.0,5000,164,85,110,5000,200,200
121,0,100.2,5000,166,85,110,5000,200,200
121,1,0.0,5000,195,85,110,5000,200,200
