TASK_ID -- core -- memory -- disk -- time -- drop_out_rate -- num_residual_blocks
53 -- 1.004 -- 3250 -- 2437 -- 1440.183025 -- 0.15000000000000002 -- 13
189 -- 1.012 -- 3024 -- 2437 -- 718.291519 -- 0.5 -- 9
203 -- 1.008 -- 3131 -- 2437 -- 653.695487 -- 0.55 -- 3
102 -- 1.002 -- 2951 -- 2437 -- 1178.727259 -- 0.30000000000000004 -- 2
261 -- 1.012 -- 3110 -- 2437 -- 424.233649 -- 0.7000000000000001 -- 1
303 -- 1.014 -- 2871 -- 2437 -- 285.589932 -- 0.8 -- 3
186 -- 1.006 -- 3175 -- 2437 -- 841.177817 -- 0.5 -- 6
35 -- 1.003 -- 3304 -- 2437 -- 1714.530707 -- 0.1 -- 15
128 -- 1.004 -- 3068 -- 2437 -- 1133.218586 -- 0.35000000000000003 -- 8
231 -- 1.005 -- 3024 -- 2437 -- 633.105055 -- 0.6000000000000001 -- 11
122 -- 0.526 -- 3084 -- 2437 -- 1181.14427 -- 0.35000000000000003 -- 2
201 -- 0.548 -- 3088 -- 2437 -- 809.3528690000001 -- 0.55 -- 1
245 -- 1.007 -- 2947 -- 2437 -- 603.289178 -- 0.65 -- 5
224 -- 1.008 -- 3143 -- 2437 -- 689.090232 -- 0.6000000000000001 -- 4
243 -- 1.008 -- 3101 -- 2437 -- 617.453495 -- 0.65 -- 3
321 -- 0.971 -- 2639 -- 2437 -- 306.286165 -- 0.8500000000000001 -- 1
17 -- 1.003 -- 3288 -- 2437 -- 1899.531906 -- 0.05 -- 17
73 -- 1.003 -- 3279 -- 2437 -- 1539.074471 -- 0.2 -- 13
103 -- 0.998 -- 3092 -- 2437 -- 1371.745338 -- 0.30000000000000004 -- 3
206 -- 1.006 -- 3175 -- 2437 -- 858.988318 -- 0.55 -- 6
322 -- 1.024 -- 2630 -- 2437 -- 357.902674 -- 0.8500000000000001 -- 2
130 -- 1.004 -- 3162 -- 2437 -- 1260.571929 -- 0.35000000000000003 -- 10
252 -- 1.005 -- 3074 -- 2437 -- 688.0056080000001 -- 0.65 -- 12
262 -- 0.8110000000000001 -- 2954 -- 2437 -- 654.635933 -- 0.7000000000000001 -- 2
221 -- 0.528 -- 3091 -- 2437 -- 831.833351 -- 0.6000000000000001 -- 1
32 -- 0.539 -- 2820 -- 2437 -- 1913.176831 -- 0.1 -- 12
283 -- 1.009 -- 3139 -- 2437 -- 597.506078 -- 0.75 -- 3
307 -- 1 -- 3061 -- 2437 -- 527.600366 -- 0.8 -- 7
235 -- 1.003 -- 3225 -- 2437 -- 851.380955 -- 0.6000000000000001 -- 15
168 -- 0.536 -- 2752 -- 2437 -- 1176.785347 -- 0.45 -- 8
284 -- 1.008 -- 3128 -- 2437 -- 682.553041 -- 0.75 -- 4
292 -- 1.005 -- 3042 -- 2437 -- 676.324404 -- 0.75 -- 12
144 -- 0.5629999999999999 -- 3105 -- 2437 -- 1372.667662 -- 0.4 -- 4
286 -- 1.006 -- 2921 -- 2437 -- 726.388613 -- 0.75 -- 6
341 -- 1.01 -- 2979 -- 2437 -- 504.728084 -- 0.9 -- 1
311 -- 1.005 -- 3028 -- 2437 -- 636.5397380000001 -- 0.8 -- 11
246 -- 1.006 -- 3123 -- 2437 -- 907.960605 -- 0.65 -- 6
22 -- 0.5580000000000001 -- 3011 -- 2437 -- 2145.401801 -- 0.1 -- 2
232 -- 1.009 -- 2776 -- 2437 -- 972.250359 -- 0.6000000000000001 -- 12
266 -- 1.006 -- 3146 -- 2437 -- 842.210246 -- 0.7000000000000001 -- 6
253 -- 1.006 -- 3275 -- 2437 -- 901.589265 -- 0.65 -- 13
63 -- 0.73 -- 3112 -- 2437 -- 1892.024591 -- 0.2 -- 3
366 -- 1.009 -- 2842 -- 2437 -- 416.0416 -- 0.9500000000000001 -- 6
147 -- 0.6879999999999999 -- 3184 -- 2437 -- 1418.444469 -- 0.4 -- 7
39 -- 0.709 -- 3054 -- 2437 -- 2060.829699 -- 0.1 -- 19
304 -- 1.007 -- 3106 -- 2437 -- 717.476812 -- 0.8 -- 4
219 -- 1.002 -- 3148 -- 2437 -- 1074.818682 -- 0.55 -- 19
347 -- 1.001 -- 2683 -- 2437 -- 529.177909 -- 0.9 -- 7
294 -- 1.004 -- 3107 -- 2437 -- 762.796354 -- 0.75 -- 14
205 -- 0.6860000000000001 -- 3194 -- 2437 -- 1155.22113 -- 0.55 -- 5
68 -- 0.55 -- 3162 -- 2437 -- 1904.428367 -- 0.2 -- 8
309 -- 1.012 -- 2825 -- 2437 -- 720.656369 -- 0.8 -- 9
240 -- 1.003 -- 3111 -- 2437 -- 1018.677001 -- 0.65 -- 20
228 -- 1.005 -- 3080 -- 2437 -- 1068.109448 -- 0.6000000000000001 -- 8
364 -- 1.018 -- 2607 -- 2437 -- 490.157349 -- 0.9500000000000001 -- 4
267 -- 1.006 -- 3153 -- 2437 -- 918.263686 -- 0.7000000000000001 -- 7
66 -- 0.9 -- 3121 -- 2437 -- 1956.493491 -- 0.2 -- 6
33 -- 0.773 -- 3278 -- 2437 -- 2182.689119 -- 0.1 -- 13
96 -- 1.003 -- 3321 -- 2437 -- 1777.313087 -- 0.25 -- 16
257 -- 1.004 -- 2878 -- 2437 -- 1008.872374 -- 0.65 -- 17
259 -- 1.003 -- 3205 -- 2437 -- 1018.552927 -- 0.65 -- 19
137 -- 0.839 -- 3138 -- 2437 -- 1594.03746 -- 0.35000000000000003 -- 17
362 -- 0.988 -- 2967 -- 2437 -- 577.768069 -- 0.9500000000000001 -- 2
132 -- 0.627 -- 3067 -- 2437 -- 1632.704036 -- 0.35000000000000003 -- 12
29 -- 1.002 -- 3161 -- 2437 -- 2280.797543 -- 0.1 -- 9
125 -- 0.5610000000000001 -- 3173 -- 2437 -- 1674.108731 -- 0.35000000000000003 -- 5
78 -- 1.003 -- 3315 -- 2437 -- 1960.331833 -- 0.2 -- 18
